Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,EIA3216,-11.911624,6.566876,45,top
C2,10uF,EIA3216,-4.9149,16.6751,225,top
C3,1uF,C_0402_1005Metric,-7.8613,14.6431,225,top
C4,0.1uF,C_0402_1005Metric,-2.2225,18.6944,45,top
C5,22pF,C_0402_1005Metric,8.4201,0.0635,225,top
C6,22pF,C_0402_1005Metric,3.6195,1.524,315,top
C7,1uF,C_0402_1005Metric,-3.1115,-11.684,90,top
C8,100nF,C_0402_1005Metric,-6.1087,0.4572,45,top
C9,100nF,C_0402_1005Metric,-0.1905,2.794,135,top
C10,0.1uF,C_0402_1005Metric,-7.112,13.9065,45,top
C11,1uF,C_0402_1005Metric,-5.2705,5.207,45,top
C12,1uF,C_0402_1005Metric,-4.445,4.3815,225,top
D1,DIODESOD,D_SOD-123,-10.247226,5.183274,45,top
D2,Green,D_0805_2012Metric,7.493,14.132587,135,top
D4,D,D_0805_2012Metric,7.0358,-3.4925,270,top
D5,LED,D_0805_2012Metric,-9.9695,-3.4925,270,top
F1,500mA,Fuse_1812_4532Metric,-8.8392,2.2098,45,top
LED1,Red,D_0805_2012Metric,-7.874,-6.223,180,top
Q1,MMBT3904,SOT23-3,2.3749,-12.2047,180,top
R1,1K,R_0603_1608Metric,-1.5875,-12.065,90,top
R2,1K,R_0603_1608Metric,-11.1125,-6.0325,180,top
R3,10K,R_0603_1608Metric,0.1016,-12.1285,90,top
R4,10k,R_0603_1608Metric,1.778,2.0828,45,top
R5,22,R_0603_1608Metric,-12.446,-0.127,180,top
R6,330,R_0603_1608Metric,8.509,10.795,45,top
R7,22,R_0603_1608Metric,-12.446,-1.524,180,top
R8,10,R_0603_1608Metric,4.699,-11.6332,270,top
R9,200,R_0603_1608Metric,6.8199,-6.7437,90,top
R10,330,R_0603_1608Metric,-11.684,-3.6195,270,top
R12,10k,R_0603_1608Metric,-12.0015,-9.652,270,top
R13,10k,R_0603_1608Metric,5.1562,17.0053,225,top
R14,10k,R_0603_1608Metric,4.2164,17.9832,225,top
R15,10k,R_0603_1608Metric,6.1087,16.0401,225,top
RN1,R_Pack04,R_Array_Concave_4x0603,-7.4295,-2.9972,180,top
RN2,R_Pack04,R_Array_Concave_4x0603,-3.2512,1.5748,270,top
U1,DS3231M,SOIC-16W_7.5x10.3mm_P1.27mm,0,-5.1816,0,top
U2,MIC5219,SOT23-5,-9.0805,10.414,315,top
U3,USB-AB,USB-AB-MICRO-SMD,-17.4625,-0.1905,0,top
U4,AT24CS32-SSHM,SOIC-8_3.9x4.9mm_P1.27mm,10.009602,7.651076,225,top
U5,ATMEGA32U4QFN,TQFP-44_10x10mm_P0.8mm,0,10.7315,45,top
Y1,16MHz,CRYSTAL-SMD-5X3.2-4PAD,5.9944,2.6924,315,top
